,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,94.0,Austria,7,0,3,0,0,0.0,0.25,0.0,0.05,0.15,0.0,0.25,0.3,0.45,0.05,0.45,0.05,-0.45,0.25,0.1,-0.05,-0.05,-0.45,-0.45,-0.9
1,102.0,Austria,1,0,1,0,1,0.0,0.1,-0.05,0.1,0.2,0.55,0.25,0.0,-0.3,0.15,0.25,0.15,-0.65,0.25,-0.4,-0.25,0.05,-0.65,-0.25,-0.5
2,90.0,Hungary,4,0,0,0,1,0.0,0.25,-0.05,-0.05,0.4,-0.05,-0.15,0.15,0.0,-0.5,-0.25,0.25,-0.25,0.0,0.25,-0.8,0.1,-0.3,-0.2,-0.5
3,62.0,Great Britain,3,0,2,0,0,0.0,0.05,0.05,0.2,0.0,0.15,0.2,0.2,-0.15,0.0,-0.45,0.4,-0.3,0.05,0.15,0.05,-0.05,0.05,-0.25,-0.35
4,62.0,Great Britain,2,0,0,0,0,0.15,0.0,-0.1,0.2,0.2,0.0,-0.2,0.3,0.05,0.3,-0.2,-0.05,-0.05,-0.45,0.25,-0.15,0.1,-0.15,-0.05,-0.15
5,38.0,Spain,1,0,0,0,0,0.0,0.05,-0.05,0.05,-0.05,0.05,0.2,-0.1,0.05,-0.1,0.1,0.0,0.1,0.0,0.05,0.2,0.05,0.05,-0.1,-0.55
6,42.0,Belgium,4,0,1,0,0,0.0,0.0,0.0,0.0,0.05,-0.05,0.15,0.2,0.0,-0.1,0.0,0.2,0.05,-0.05,0.1,0.15,0.15,0.0,-0.2,-0.65
7,90.0,Italy,3,1,2,0,0,0.45,0.05,0.25,0.1,-0.15,0.05,-0.3,0.2,0.1,-0.3,0.45,0.2,0.05,0.25,-0.3,0.1,-0.6,-0.25,-0.2,-0.15
8,86.0,Italy,3,2,3,0,0,0.0,0.0,0.05,0.2,0.1,0.25,0.25,-0.15,0.2,0.2,0.35,0.15,-0.35,-0.2,0.2,0.2,0.0,-0.45,-0.8,-0.2
9,72.0,Russia,2,0,1,1,0,0.1,0.0,-0.1,0.0,0.0,0.2,0.0,0.15,0.0,0.25,0.3,0.3,0.05,0.25,-0.35,0.2,-0.05,-0.25,-0.65,-0.4
10,114.0,Germany,4,0,1,1,1,0.05,0.05,0.15,0.25,0.25,0.3,-0.15,0.6,0.35,0.2,0.0,0.35,0.1,0.2,-0.1,-0.4,-0.6,-0.55,-0.9,-0.15
11,54.0,Portugal,1,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.05,-0.1,0.15,0.05,0.25,0.25,-0.3,-0.25,0.0,0.1,0.15,0.05,0.1,-0.3,-0.4
12,102.0,Italy,5,0,1,1,0,0.05,-0.05,0.1,0.2,0.1,0.25,0.15,0.05,0.45,0.5,0.4,0.1,0.1,0.1,-0.45,-0.15,-0.7,-0.05,-0.35,-0.8
13,134.0,Turkey,21,0,0,1,1,0.25,0.05,0.4,0.4,0.5,-0.2,-0.15,0.3,-0.4,-0.25,-0.2,0.2,0.3,-0.25,-0.35,-0.8,-0.2,-0.05,-0.95,-0.5
14,64.0,Bahrain,4,1,2,0,0,0.0,0.05,0.05,0.25,0.5,0.1,-0.05,-0.3,-0.1,0.1,-0.05,0.1,-0.1,0.3,0.1,0.0,0.05,-0.65,-0.3,-0.05
15,102.0,Bahrain,5,0,2,2,0,0.2,0.45,0.35,0.2,0.1,0.3,-0.05,-0.35,-0.35,0.45,-0.1,0.05,0.05,0.2,0.0,0.05,0.15,-0.1,-0.8,-0.8
16,28.0,Abu Dhabi,1,0,1,1,0,0.0,0.0,0.0,0.05,-0.05,0.0,0.2,0.05,0.05,-0.1,-0.2,0.15,-0.05,-0.05,0.05,-0.1,0.05,0.1,-0.1,-0.05
